AcresBurned,Active,AirTankers,ArchiveYear,CalFireIncident,CanonicalUrl,Counties,CrewsInvolved,Dozers,Engines,Extinguished,Fatalities,Featured,Final,FuelType,Helicopters,Injuries,Latitude,Longitude,MajorIncident,Name,PercentContained,PersonnelInvolved,Public,Started,Status,StructuresDamaged,StructuresDestroyed,StructuresEvacuated,StructuresThreatened,UniqueId,Updated,WaterTenders
91,FALSE,,2016,TRUE,/incidents/2016/5/27/dunstone-fire/,Butte,,,,2016-05-27T17:00:00Z,,FALSE,TRUE,,,,39.33035,-121.78973,FALSE,Dunstone Fire,100,,TRUE,2016-05-27T13:43:00Z,Finalized,,,,,5080eb51-53e5-4338-95ec-618efe2bd7d1,2016-05-27T17:00:00Z,
88,FALSE,,2016,TRUE,/incidents/2016/8/26/santos-fire/,Butte,,,,2016-08-30T18:40:00Z,,FALSE,TRUE,,,,39.79547,-121.71662,TRUE,Santos Fire,100,,TRUE,2016-08-26T15:30:00Z,Finalized,,,,,c55cc099-43f6-4a55-81b4-59ee03618511,2016-08-30T18:40:00Z,
88,FALSE,,2016,TRUE,/incidents/2016/7/1/flores-fire/,Tehama,,,,2016-07-01T17:45:00Z,,FALSE,TRUE,,,,40.07846,-122.2071,FALSE,Flores Fire,100,,TRUE,2016-07-01T13:54:00Z,Finalized,,,,,f88a7291-9122-49fa-864d-b807fa360393,2016-07-01T17:45:00Z,
88,FALSE,,2016,TRUE,/incidents/2016/6/21/moore-fire/,Placer,,,,2016-06-21T15:45:00Z,,FALSE,TRUE,,,,38.86804,-121.37704,FALSE,Moore Fire,100,,TRUE,2016-06-21T12:24:00Z,Finalized,,,,,d570e949-a098-4af0-84a4-d70c4a0e89c9,2016-06-21T15:45:00Z,
87,FALSE,,2016,TRUE,/incidents/2016/7/10/scott-fire/,Sacramento,,,,2016-07-11T06:35:00Z,,FALSE,TRUE,,,,38.517772,-121.103642,FALSE,Scott Fire,100,,TRUE,2016-07-10T15:30:00Z,Finalized,,,,,fbe85bec-6399-442f-8a3f-ca4a25bb2b3b,2016-07-11T06:35:00Z,
86,FALSE,,2016,TRUE,/incidents/2016/6/27/frazier-fire/,San Luis Obispo,,,,2016-06-29T17:00:00Z,,FALSE,TRUE,,,,35.70821,-120.82266,FALSE,Frazier Fire,100,,TRUE,2016-06-27T12:07:00Z,Finalized,,,,,42fbaa73-e3c8-44ac-bf83-a576be6a804f,2019-07-01T13:08:35.477Z,
85,FALSE,,2016,TRUE,/incidents/2016/8/4/grub-fire/,Madera,,,,2016-08-06T19:50:00Z,,FALSE,TRUE,,,,37.3228,-119.7738,FALSE,Grub Fire,100,,TRUE,2016-08-04T14:13:00Z,Finalized,,,,,8505d2db-7c6f-445e-9bff-407e99cac614,2016-08-06T19:50:00Z,
85,FALSE,,2016,TRUE,/incidents/2016/5/30/tulloch-fire/,Tuolumne,3,,6,2016-06-01T19:45:00Z,,FALSE,TRUE,,,,37.927613,-120.528836,TRUE,Tulloch Fire,100,,TRUE,2016-05-30T15:10:00Z,Finalized,,,,,ffec404e-dea9-4175-8c50-8f2b0ca3efdd,2016-06-01T19:45:00Z,
84,FALSE,,2016,TRUE,/incidents/2016/7/15/dunnigan-fire/,Yolo,,,,2016-07-15T15:40:00Z,,FALSE,TRUE,,,,38.8866,-122.04726,FALSE,Dunnigan Fire,100,,TRUE,2016-07-15T14:00:00Z,Finalized,,,,,b6b6ef56-0d7f-4c97-b072-74b712aa1e65,2016-07-15T15:40:00Z,
83,FALSE,,2016,TRUE,/incidents/2016/6/15/cheyenne-fire/,Calaveras,,,,2016-06-16T10:00:00Z,,FALSE,TRUE,,,1,0,0,TRUE,Cheyenne Fire,100,,TRUE,2016-06-15T12:46:00Z,Finalized,1,2,,,a56880f1-16c0-4d23-8f5a-b9ac436694bb,2016-06-16T10:00:00Z,
